"ID2009","Candidate","State","Constituency_No2009","Position2009","Sex","Party2009","Constituency_Name2009","Vote_Share_Percentage2009","Margin_Percentage2009","ReNominated","ID2014","Candidate2014","Constituency_No2014","Position2014","Party2014","Constituency_Name2014","Vote_Share_Percentage2014","Margin_Percentage2014","PostGraduate","CriminalCase","Moveable","Immoveable"
5025,"DINESH CHANDRA YADAV","Bihar",25,1,"M","JD(U)","KHAGARIA",42.72,22.2,1,5025,"DINESH CHANDRA YADAV",25,3,"JD(U)","KHAGARIA",24.58,21.85,0,0,1935253,2375000
5025,"RAVINDAR KR. RANA","Bihar",25,2,"M","RJD","KHAGARIA",20.51,0.11,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,4592971,5657477
5025,"CHOUDHARY MEHBOOB ALI KAISER","Bihar",25,3,"M","INC","KHAGARIA",20.4,17.64,1,5025,"CHOUDHARY MAHBOOB ALI KAISER",25,1,"LJP","KHAGARIA",35.01,8.48,0,0,4243549,9593000
5026,"SYED SHAHNAWAZ HUSSAIN","Bihar",26,1,"M","BJP","BHAGALPUR",36.3,8.87,1,5026,"SYED SHAHNAWAZ HUSSAIN",26,2,"BJP","BHAGALPUR",36.77,23.19,0,0,3907005,4800000
5026,"SHAKUNI CHOUDHARY","Bihar",26,2,"M","RJD","BHAGALPUR",27.43,18.63,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3175098,NA
5027,"DIGVIJAY SINGH","Bihar",27,1,"M","IND","BANKA",28.48,4.4,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3284664,1
5027,"JAI PRAKESH NARAIN YADAV","Bihar",27,2,"M","RJD","BANKA",24.08,6.92,1,5027,"JAI PRAKASH NARAYAN YADAV",27,1,"RJD","BANKA",31.71,1.13,1,0,18600000,5540180
5028,"RAJIV RANJAN SINGH ALIAS LALAN SINGH","Bihar",28,1,"M","JD(U)","MUNGER",57.5,29.09,1,5028,"RAJIV RANJAN SINGH ALIAS LALAN SINGH",28,2,"JD(U)","MUNGER",26.67,6.66,0,0,87599,NA
5028,"RAM BADAN ROY","Bihar",28,2,"M","RJD","MUNGER",28.41,24.12,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
5029,"KAUSHALENDRA KUMAR","Bihar",29,1,"M","JD(U)","NALANDA",52.65,26.87,1,5029,"KAUSHLENDRA KUMAR",29,1,"JD(U)","NALANDA",34.93,1.04,0,0,833058,6400000
5029,"SATISH KUMAR","Bihar",29,2,"M","LJP","NALANDA",25.78,22.2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,688700,5950000
5030,"SHATRUGHAN SINHA","Bihar",30,1,"M","BJP","PATNA SAHIB",57.3,30.19,1,5030,"SHATRUGHANA SINHA",30,1,"BJP","PATNA SAHIB",55.07,30.13,0,0,80900000,69200000
5030,"VIJAY KUMAR","Bihar",30,2,"M","RJD","PATNA SAHIB",27.11,16.02,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5895100,15800000
5031,"RANJAN PRASAD YADAV","Bihar",31,1,"M","JD(U)","PATALIPUTRA",42.86,3.75,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,7283000,7372000
5032,"MEENA SINGH","Bihar",32,1,"F","JD(U)","ARRAH",38.24,13.43,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,108206,1
5032,"RAMA KISHORE SINGH","Bihar",32,2,"M","LJP","ARRAH",24.81,3.96,1,5016,"RAMA KISHORE SINGH",16,1,"LJP","VAISHALI",32.99,10.72,0,0,NA,NA
5032,"ARUN SINGH","Bihar",32,3,"M","CPI(ML)(L)","ARRAH",20.84,16.95,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,15000,1
5033,"JAGADA NAND SINGH","Bihar",33,1,"M","RJD","BUXAR",21.27,0.36,1,5033,"JAGADANAND SINGH",33,2,"RJD","BUXAR",21.02,0.21,1,0,5500,1199000
5033,"LAL MUNI CHOUBEY","Bihar",33,2,"M","BJP","BUXAR",20.91,0.52,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1066000,8537000
5033,"SHYAM LAL SINGH KUSHWAHA","Bihar",33,3,"M","BSP","BUXAR",20.39,0.67,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,15400000,33900000
5034,"MEIRA KUMAR","Bihar",34,1,"F","INC","SASARAM",32.09,7.17,1,5034,"MEIRA KUMAR",34,2,"INC","SASARAM (SC)",35.75,24.73,1,0,11100000,90400000
5034,"MUNI LAL","Bihar",34,2,"M","BJP","SASARAM",24.92,6.64,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2237766,932720
5035,"MAHABALI SINGH","Bihar",35,1,"M","JD(U)","KARAKAT",34.13,3.55,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,5742174,2131500
5035,"KANTI SINGH","Bihar",35,2,"F","RJD","KARAKAT",30.58,18.27,1,5035,"KANTI SINGH",35,2,"RJD","KARAKAT",29.58,19.87,0,0,1,NA
5036,"JAGDISH SHARMA","Bihar",36,1,"M","JD(U)","JAHANABAD",39.18,3.56,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,18300000,8625000
5036,"SURENDRA PRASAD YADAV","Bihar",36,2,"M","RJD","JAHANABAD",35.62,27.53,1,5036,"SURENDRA PRASAD YADAV",36,2,"RJD","JAHANABAD",34.54,22.11,0,0,NA,8720059
5037,"SUSHIL KUMAR SINGH","Bihar",37,1,"M","JD(U)","AURANGABAD",43.48,12.04,1,5037,"SUSHIL KUMAR SINGH",37,1,"BJP","AURANGABAD",39.16,8.44,1,1,6247765,14700000
